ID,ID_old,dep_time,weight,density,a,b,c,sphericity,shields
1,0756AE,208.55277777777778,928,2.6,126,85,60,0.68,7.49
2,0756F4,208.5534722222222,416,2.43,93,59,57,0.73,4.66
3,0756D4,208.55416666666665,508,2.61,95,67,47,0.7,5.92
4,075106,208.5548611111111,568,2.54,108,74,57,0.71,6.26
5,0756E7,208.55555555555554,582,2.51,101,82,52,0.75,6.81
6,0756E6,208.55624999999998,606,2.48,104,75,57,0.73,6.13
7,0756CC,208.55833333333334,597,2.63,103,91,49,0.75,8.17
8,0756F5,208.55902777777777,457,2.75,84,69,49,0.78,6.66
9,0756BE,208.5597222222222,713,2.5,115,77,55,0.68,6.37
10,0756C3,208.56041666666667,518,2.43,115,82,51,0.68,6.47
11,0756D7,208.56041666666667,788,2.61,105,97,73,0.86,8.6
12,0756FC,208.5611111111111,719,2.57,122,83,45,0.63,7.17
13,0756DD,208.5611111111111,735,2.6,140,75,54,0.59,6.6
14,0756F6,208.56180555555554,874,2.87,133,77,56,0.62,7.91
15,0756D1,208.5625,571,2.56,99,81,52,0.75,6.96
16,075188,208.56284722222222,784,2.66,119,94,62,0.74,8.58
17,075194,208.56284722222222,716,2.65,111,80,65,0.75,7.28
18,075125,208.56284722222222,450,2.57,99,67,49,0.69,5.8
19,0754B9,208.56284722222222,499,2.47,104,94,43,0.72,7.61
20,0756C1,208.56284722222222,653,2.79,105,91,41,0.7,8.97
21,075182,208.56284722222222,578,2.69,98,87,45,0.74,8.09
22,0756BC,208.56284722222222,602,2.74,105,95,50,0.76,9.09
23,075171,208.56284722222222,644,2.64,103,87,54,0.76,7.86
24,0756EF,208.56284722222222,422,2.69,97,67,49,0.7,6.23
25,0756E2,208.56284722222222,853,2.64,117,80,57,0.69,7.23
26,0756D8,208.56284722222222,695,2.49,103,90,59,0.79,7.39
27,0756BB,208.5673611111111,771,2.73,121,95,50,0.69,9.07
28,0750F7,208.56875,464,2.86,93,52,55,0.69,5.34
29,0756D6,208.56944444444443,450,2.56,90,75,75,0.89,6.43
30,075121,208.5701388888889,501,2.61,92,70,57,0.78,6.21
31,0750EE,208.5736111111111,454,2.69,109,87,42,0.68,8.08
32,075108,208.57430555555555,735,2.53,103,78,70,0.8,6.59
33,07515A,208.575,566,2.56,105,87,47,0.72,7.48
34,0756FE,208.575,816,2.91,112,83,67,0.76,8.75
35,0750D2,208.57638888888889,824,2.7,104,92,57,0.79,8.62
36,075158,208.57708333333332,874,2.61,104,102,74,0.89,9.04
37,075179,208.57777777777775,747,2.82,114,84,65,0.75,8.42
38,075700,208.57847222222222,294,2.45,72,65,50,0.86,5.19
39,0756D9,208.57916666666665,372,2.51,107,63,43,0.62,5.25
40,0756E8,208.57986111111111,499,2.59,100,72,57,0.74,6.29
41,07570A,208.58124999999998,319,2.36,85,67,37,0.7,5.03
42,0750EF,208.58194444444445,582,2.81,95,77,68,0.83,7.68
43,0754EA,208.58333333333334,614,2.53,101,92,52,0.78,7.74
44,075196,208.58402777777778,595,2.46,103,69,66,0.75,5.54
45,0756B1,208.58472222222224,1137,2.73,127,76,70,0.69,7.26
46,07511D,208.58541666666667,434,2.51,92,72,52,0.76,5.98
47,075122,208.5861111111111,399,2.43,79,66,64,0.88,5.21
48,0750DF,208.58680555555557,316,2.47,84,76,36,0.73,6.15
49,0756EE,208.58680555555557,373,2.59,91,67,38,0.67,5.87
50,075703,208.58680555555557,260,2.39,83,69,31,0.68,5.26
51,0750E5,217.58263888888888,686,2.4,100,81,53,0.75,6.24
52,07513D,217.58333333333334,523,2.55,113,69,71,0.73,5.9
53,0756E0,217.58472222222224,931,2.66,133,69,71,0.65,6.31
54,07518E,217.58819444444444,814,2.68,107,80,53,0.72,7.39
55,075172,217.5902777777778,572,1.96,76,69,62,0.9,3.64
56,075195,217.5902777777778,479,2.28,92,81,43,0.74,5.71
57,075153,217.59097222222223,788,2.72,118,77,52,0.66,7.28
58,075701,217.5951388888889,882,2.85,117,73,54,0.66,7.46
59,075144,217.59583333333333,945,2.36,114,79,65,0.73,5.9
60,07510B,217.5965277777778,402,2.23,85,78,53,0.83,5.3
61,0750F8,217.59861111111113,1236,2.56,147,92,64,0.65,7.9
62,075135,217.6013888888889,489,2.39,100,74,40,0.67,5.65
63,07511E,217.6027777777778,475,2.32,113,71,44,0.63,5.15
64,0756B7,217.6027777777778,496,2.73,68,55,54,0.86,5.23
65,075505,217.6027777777778,361,2.26,86,57,44,0.7,3.94
66,0750E3,217.6027777777778,429,2.36,79,76,41,0.79,5.68
67,075123,217.60555555555555,347,2.48,75,72,71,0.97,5.86
68,0750D6,217.60555555555555,628,2.51,105,99,58,0.8,8.24
69,075155,217.60555555555555,758,2.71,103,86,50,0.74,8.09
70,0754F9,217.60555555555555,398,2.54,89,71,32,0.66,6
71,0750D1,217.60694444444445,902,2.37,112,90,60,0.76,6.81
72,0750E1,217.60694444444445,927,2.73,116,83,55,0.7,7.89
73,075136,217.60694444444445,NA,NA,NA,NA,NA,NA,NA
74,07511C,217.60972222222225,826,2.63,119,83,54,0.68,7.45
75,0750F2,217.60972222222225,906,2.18,120,84,59,0.7,5.47
76,075124,217.60972222222225,918,2.91,105,75,64,0.76,7.91
77,07518A,217.61180555555558,651,2.6,136,71,54,0.59,6.27
78,075157,217.61180555555558,1130,2.63,112,94,57,0.75,8.46
79,07510A,217.61180555555558,1238,2.68,133,98,59,0.69,9.07
80,07459B,217.61319444444445,780,2.69,95,72,66,0.81,6.7
81,075109,217.61319444444445,581,2.54,112,68,47,0.63,5.76
82,073FAC,224.51041666666666,412,2.68,89,61,59,0.77,5.63
83,073FB8,224.51041666666666,351,2.47,72,56,59,0.86,4.54
